defect_id,module,severity,status,reported_date,resolved_date,priority,assigned_to
DEF-0009,API Service,Critical,Closed,2024-01-02,2024-01-03,Medium,Emily Brown
DEF-0200,Database,Minor,Open,2024-01-04,,Low,John Doe
DEF-0047,Payment Gateway,Major,Reopened,2024-01-04,,Medium,David Chen
DEF-0177,API Service,Low,Open,2024-01-07,,High,Jane Smith
DEF-0038,Authentication,Critical,Closed,2024-01-09,2024-01-12,High,Chris Lee
DEF-0096,Reporting,Minor,Resolved,2024-01-11,2024-02-17,Medium,Lisa Anderson
DEF-0012,Admin Panel,Minor,Reopened,2024-01-11,,Low,Emily Brown
DEF-0149,Authentication,Major,Resolved,2024-01-12,2024-02-10,Low,David Chen
DEF-0139,User Dashboard,Minor,Resolved,2024-01-12,2024-01-19,Medium,David Chen
DEF-0187,Database,Major,Open,2024-01-14,,Medium,Sarah Wilson
DEF-0037,Payment Gateway,Major,Open,2024-01-14,,Medium,John Doe
DEF-0199,Notification System,Minor,Open,2024-01-15,,Medium,David Chen
DEF-0169,Authentication,Major,Closed,2024-01-16,2024-03-12,Medium,David Chen
DEF-0063,Database,Critical,Closed,2024-01-17,2024-02-11,Medium,Sarah Wilson
DEF-0144,Payment Gateway,Major,Closed,2024-01-17,2024-01-21,Medium,Mike Johnson
DEF-0124,Authentication,Major,Closed,2024-01-17,2024-02-29,Medium,Jane Smith
DEF-0016,Payment Gateway,Major,Resolved,2024-01-20,2024-03-02,Low,Mike Johnson
DEF-0130,Reporting,Major,Closed,2024-01-25,2024-03-11,High,Emily Brown
DEF-0160,API Service,Minor,Closed,2024-01-25,2024-03-22,Low,Mike Johnson
DEF-0165,Authentication,Low,Resolved,2024-01-26,2024-03-07,High,Chris Lee
DEF-0070,Admin Panel,Major,Reopened,2024-01-27,,Medium,Sarah Wilson
DEF-0049,Reporting,Low,Resolved,2024-01-29,2024-02-27,Low,John Doe
DEF-0092,API Service,Critical,Closed,2024-01-29,2024-02-02,Medium,Emily Brown
DEF-0062,Payment Gateway,Low,Closed,2024-02-03,2024-03-21,Low,Mike Johnson
DEF-0113,Notification System,Critical,Closed,2024-02-05,2024-02-09,Medium,Chris Lee
DEF-0005,Payment Gateway,Minor,In Progress,2024-02-05,,High,Sarah Wilson
DEF-0131,User Dashboard,Major,Closed,2024-02-08,2024-03-03,High,Emily Brown
DEF-0198,Notification System,Major,Open,2024-02-08,,Medium,Jane Smith
DEF-0039,API Service,Minor,Closed,2024-02-09,2024-04-08,Medium,John Doe
DEF-0061,User Dashboard,Minor,Open,2024-02-10,,Medium,Mike Johnson
DEF-0129,Authentication,Major,Open,2024-02-11,,High,Jane Smith
DEF-0059,Authentication,Minor,Open,2024-02-11,,Medium,John Doe
DEF-0142,Payment Gateway,Minor,Closed,2024-02-13,2024-04-05,Medium,Jane Smith
DEF-0083,Payment Gateway,Major,Resolved,2024-02-15,2024-02-18,High,Chris Lee
DEF-0166,Notification System,Major,Resolved,2024-02-16,2024-04-05,Medium,Lisa Anderson
DEF-0022,Authentication,Minor,Closed,2024-02-22,2024-03-28,High,Jane Smith
DEF-0105,Notification System,Minor,Closed,2024-02-24,2024-04-10,High,Mike Johnson
DEF-0146,Authentication,Minor,Resolved,2024-02-26,2024-03-05,Low,Jane Smith
DEF-0030,Authentication,Minor,Open,2024-02-28,,Medium,Emily Brown
DEF-0164,Reporting,Minor,Open,2024-02-28,,Medium,David Chen
DEF-0127,Database,Minor,Resolved,2024-03-01,2024-04-26,High,Sarah Wilson
DEF-0084,Authentication,Critical,Closed,2024-03-04,2024-03-17,Medium,John Doe
